"source_id","title","source_type","publication_date","url","observed_access","proposed_use_after_clearance","rights_route_to_verify","priority","reviewed_on","ingestion_status","commercial_ai_permission"
"N01","Ask Norm Lieberman — public blog and Q&A archive","Blog / public correspondence","Mixed dates; 2012–2020 entries observed","https://asknormlieberman.blogspot.com/","Public posts readable; some posts link videos or contain image material","Diagnostic questions and teaching examples; verify authorship and source-level permissions","Norm / Process Chemicals first contact; check question-author and embedded-material rights","First priority","2026-09-23","Not ingested","Not established"
"N02","Understanding vacuum system performance problems","Oil & Gas Journal article","2017-11-06","https://www.ogj.com/home/article/17228903/beyond-back-to-basics-process-principles-and-concepts-4-understanding-vacuum-system-performance-problems","Article text readable in research tool","Vacuum diagnosis and equipment interaction cases","OGJ rights desk and author; establish current rights","First priority","2026-09-23","Not ingested","Not established"
"N03","Understanding how distillation trays work","Oil & Gas Journal article","2018-04-02","https://www.ogj.com/refining-processing/refining/article/17232595/understanding-how-distillation-trays-work","Article text readable in research tool","Tray behavior and diagnostic distinctions","OGJ rights desk and author; establish current rights","First priority","2026-09-23","Not ingested","Not established"
"N04","Understanding reflux in distillation towers","Oil & Gas Journal article","2017-07-03","https://www.ogj.com/refining-processing/article/17229143/beyond-back-to-basics-process-principles-and-concepts-2-understanding-reflux-in-distillation-towers","Article text available in publisher search result","Reflux and heat-input relationships; case construction","OGJ rights desk and author; establish current rights","First priority","2026-09-23","Not ingested","Not established"
"N05","Understanding process heat transfer","Oil & Gas Journal article","2018-05-07","https://www.ogj.com/refining-processing/refining/article/17232705/understanding-process-heat-transfer","Article text readable in research tool","Evidence-based exchanger and reboiler diagnosis","OGJ rights desk and author; establish current rights","First priority","2026-09-23","Not ingested","Not established"
"N06","Design, installation pitfalls appear in vac tower retrofit","Oil & Gas Journal article; Norman and Elizabeth Lieberman","1991-08-26","https://www.ogj.com/home/article/17238317/design-installation-pitfalls-appear-in-vac-tower-retrofit","Article text readable in research tool","Inspection and retrofit case families; independently check historical calculations","OGJ rights desk and coauthors; establish current rights","First priority","2026-09-23","Not ingested","Not established"
"N07","Inadequate inspection cause of flawed vac tower revamp","Oil & Gas Journal article; Norman and Elizabeth Lieberman","1992-12-14","https://www.ogj.com/home/article/17219652/inadequate-inspection-cause-of-flawed-vac-tower-revamp","Article text readable; OGJ copyright notice observed","Case outcomes; competing causes; inspection and performance gaps","OGJ rights desk and coauthors; establish current rights","First priority","2026-09-23","Not ingested","Not established"
"N08","Basic technology can improve refinery profits","Oil & Gas Journal article","1994-07-18","https://www.ogj.com/home/article/17211743/basic-technology-can-improve-refinery-profits","Publisher article text surfaced in search","Troubleshooting approach and case selection","OGJ rights desk and author; establish current rights","Supporting","2026-09-23","Not ingested","Not established"
"N09","Troubleshoot operation of a steam ejector vacuum system","Hydrocarbon Processing article; N. Lieberman and R. Cardoso","2016-02","https://www.hydrocarbonprocessing.com/magazine/2016/february-2016/process-engineering-and-optimization/troubleshoot-operation-of-a-steam-ejector-vacuum-system/","Publisher preview; full article requires access","Vacuum case candidate; obtain and review complete authorized text","Gulf Energy Information rights desk; coauthor / employer interests to verify","First priority","2026-09-23","Not ingested","Not established"
"N10","Performance testing: The key to successful revamps","Hydrocarbon Processing article","2017-02","https://www.hydrocarbonprocessing.com/magazine/2017/february-2017/process-optimization/performance-testing-the-key-to-successful-revamps/","Publisher preview; full article requires access","Performance-test methods and evidence quality; complete text not reviewed","Gulf Energy Information rights desk and author","First priority","2026-09-23","Not ingested","Not established"
"N11","(25b) Troubleshooting Distillation Problems","AIChE 2023 conference proceeding; Norman and Elizabeth Lieberman","2023","https://proceedings.aiche.org/conferences/aiche-spring-meeting-and-global-congress-on-process-safety/2023/proceeding/paper/25b-troubleshooting-distillation-problems","Official title / author listing; checkout or login for content; full paper not reviewed","Conference paper and presentation acquisition lead","AIChE and coauthors; confirm paper / slides / recording availability and grants separately","First priority","2026-09-23","Not ingested","Not established"
"N12","Norm P. Lieberman Video Library of Troubleshooting Process Operations","Author-firm video catalog and quiz offer","Undated catalog","https://lieberman-eng.com/videos.htm","Public catalog; video library offered for order; quizzes available on request; recordings not reviewed","Licensed transcription; diagram annotation; instructor review; quarantine quizzes selected for evaluation","Norm / Process Chemicals; verify video, workbook, figures and quiz ownership","First priority","2026-09-23","Not ingested","Not established"
"N13","A Working Guide to Process Equipment, fifth edition — 26-page preview","Author-hosted book front matter; Norman and Elizabeth Lieberman","2022 edition","https://lieberman-eng.com/pdfs/A%20Working%20Guide%20To%20Process%20Equipment.pdf","26-page front-matter preview, not complete book; McGraw Hill copyright notice observed","Bibliography and coverage planning; seek chapter-level licensed acquisition","McGraw Hill and coauthors; possession of preview is not a commercial AI grant","First priority","2026-09-23","Not ingested","Not established"
"N14","Process Improvement Engineering book catalog","Author-firm bibliography / licensing leads","Current page checked 2026-09-23","https://www.lieberman-eng.com/books.htm","Public catalog; includes self-published and third-party-published works","Identify exact titles, editions, coauthors, publisher and rights route","Norm / Process Chemicals / Lieberman Books, then exact publisher for each title","First priority","2026-09-23","Not ingested","Not established"
"N15","Seminar Presentations","Author-firm seminar catalog","Current page checked 2026-09-23","https://www.lieberman-eng.com/seminars.htm","Public catalog / brochure links; not a complete teaching-material archive","Request original slides, workbook, sketches and cleared recordings","Norm / Process Chemicals plus any event-owner or recording rights","Supporting","2026-09-23","Not ingested","Not established"
"N16","Sour water strippers: design and operation","PTQ article; Norman Lieberman","Q2 2013 as printed in indexed PDF","https://www.eptq.com/articles/liebermanweb_04042013130338.pdf","Publisher PDF indexed with author and text; direct opening failed in research tool; complete document not verified","Acquisition lead; later sour-water / treatment module","PTQ publisher and author; obtain authoritative copy and grant","Supporting","2026-09-23","Not ingested","Not established"
"N17","Troubleshooting Vacuum Systems: Steam Turbine Surface Condensers and Refinery Vacuum Towers","Wiley book; Norman P. Lieberman","2013 edition","https://www.wiley-vch.de/en/areas-interest/engineering/troubleshooting-vacuum-systems-978-1-118-29034-7","Official product description; full book not reviewed","Licensed reference chapters and source-linked diagnostic cases","Wiley / relevant imprint and author; request commercial AI permissions","First priority","2026-09-23","Not ingested","Not established"
"N18","Understanding, preventing corrosion in refineries","Oil & Gas Journal article","2019-02-04","https://www.ogj.com/refining-processing/refining/article/17222725/understanding-preventing-corrosion-in-refineries","Publisher article text surfaced in search","Supporting reliability cases; independent corrosion specialist review","OGJ rights desk and author; establish current rights","Supporting","2026-09-23","Not ingested","Not established"
"N19","Troubleshooting steam ejectors","PTQ article within issue PDF; Norman Lieberman","Q4 2014; article begins at printed page 125","https://www.eptq.com/digitalPTQ/2014%20ptq%20q4/2014%20ptq%20q4_opf_files/pdfs/2014%20ptq%20q4__.pdf","Publisher issue PDF indexed with article title / author / text; complete issue not reviewed","Vacuum acquisition lead; confirm article boundaries and complete copy","PTQ publisher and author; obtain authoritative copy and grant","First priority","2026-09-23","Not ingested","Not established"
