"information_id","information_set","information_to_capture","target_training_example","priority","recommended_route","candidate_sources","accountable_owner","status"
"T01","Engineering vocabulary, units and fundamentals","Definitions; aliases; gauge versus absolute pressure; mass versus volume basis; physical balances; phase behavior","Normalize a problem statement and identify incompatible units or missing bases","Launch core","Fine-tune checked examples; use tools for numeric properties","Cleared sourcebooks; original expert explanations","Process Applications Engineer","Proposed; source and technical approval required"
"T02","Process and equipment relationships","Flowsheet topology; stream roles; trays versus packing; condensers; reboilers; ejectors; utility connections","Explain which equipment interactions matter for a stated symptom","Launch core","Fine-tune structured descriptions; retrieve current site drawings","Expert-annotated sketches; cleared equipment references","Technical Director","Proposed; source and technical approval required"
"T03","Distillation troubleshooting","Feed and operating regime; temperature/pressure profiles; separation symptoms; entrainment; flooding; weeping; internal damage","Compare plausible causes using only supplied evidence","Launch core","Fine-tune reviewed case families","Norm and other fractionation experts; cleared published cases","Technical Director","Proposed; source and technical approval required"
"T04","Vacuum-system troubleshooting","Absolute pressure; load; steam/utility conditions; ejector and condenser behavior; leakage; discharge constraints","Request evidence that distinguishes process-load and vacuum-equipment explanations","Launch core","Fine-tune reviewed cases; retrieve exact equipment limits","Expert cases; licensed articles and vendor references","Technical Director","Proposed; source and technical approval required"
"T05","Heat transfer and steam systems","Duty and temperature profiles; fouling; bypassing; noncondensables; condensate behavior; reboiler circulation","Reconcile performance observations with a checked heat balance","Launch support","Fine-tune reasoning and tool selection; retrieve specifications","Expert work papers; cleared sourcebooks; validated simulations","Process Applications Engineer","Proposed; source and technical approval required"
"T06","Pumps and hydraulic context","Pump/system curves; fluid properties; head and flow; suction evidence; piping losses; interaction with process conditions","Distinguish competing hydraulic explanations without inventing an operating instruction","Launch support","Fine-tune diagnostic examples; retrieve curves and limits","Pump specialist; approved OEM references; case records","Technical Director","Proposed; source and technical approval required"
"T07","Measurements, controls and data quality","Sensor locations; time stamps; lag; calibration; control mode; sample timing; conflicting readings","Identify unreliable evidence and ask the next useful clarification","Launch core","Fine-tune data-quality cases; retrieve current instrument context","Operator and controls interviews; cleared trend records","Process Applications Engineer","Proposed; source and technical approval required"
"T08","Calculations and validated tool use","Input definitions; equations; units; property methods; assumptions; valid ranges; reproducible outputs","Call a validated tool; interpret results; reject dimensionally inconsistent inputs","Launch core","Fine-tune tool-call examples; calculate with checked software","Expert calculation sheets; independently validated tools and simulations","Applied AI Engineer","Proposed; source and technical approval required"
"T09","Complete incident histories","Initial decision; chronology; alternatives; evidence; authorized intervention; outcome; uncertainty","Produce a concise diagnostic brief supported by observations","Launch core","Fine-tune approved training families only","Original interviews; cleared emails, site reports and work papers","Knowledge Engineer","Proposed; source and technical approval required"
"T10","Diagnostic questions and evidence selection","Missing facts; hypothesis-specific observations; contradictory evidence; what would change the conclusion","Choose the highest-value next question and explain why it matters","Launch core","Fine-tune expert-reviewed multi-turn examples","Expert interviews; public Q&A after clearance; case follow-ups","Technical Director","Proposed; source and technical approval required"
"T11","Rules of thumb and applicability","Rule; rationale; valid range; assumptions; exceptions; counterexample; uncertainty","State when a shortcut applies and when additional analysis is necessary","Launch core","Fine-tune applicability distinctions; retrieve exact authoritative limits","Expert rule cards; licensed references","Technical Director","Proposed; source and technical approval required"
"T12","Failures, counterexamples and unresolved cases","Wrong first diagnosis; ineffective remedy; same symptom with another cause; combined faults; incomplete outcomes","Revise an earlier answer or retain uncertainty when evidence is insufficient","Launch core","Fine-tune reviewed contrasts and corrections","Expert retrospective interviews; complete case threads","Technical Director","Proposed; source and technical approval required"
"T13","Operating boundaries and escalation","Scope of competence; specialist triggers; procedure authority; management-of-change context; historical incident lessons","Recognize when evidence cannot support a recommendation and route for review","Launch core","Fine-tune escalation behavior; retrieve current approved procedures","Qualified process-safety reviewer; cleared incidents and site procedures","Technical Director","Proposed; source and technical approval required"
"T14","Source-grounded technical answers","Source identity; page/figure/time stamp; edition; relevance; conflicting or absent evidence","Answer from supplied references, cite the supporting passage and disclose gaps","Launch core","Fine-tune with varied permitted context; maintain a licensed retrieval library","Cleared articles/books/manuals; original expert notes","Knowledge Engineer","Proposed; source and technical approval required"
"T15","Outcome verification and business impact","Before/after basis; confounders; recurrence; energy/yield/downtime effects; historical prices; uncertainty","Distinguish measured improvement from attributed or estimated benefit","Launch support","Fine-tune evaluation of evidence; calculate with current supplied assumptions","Cleared case outcomes; engineering and finance checks","Process Applications Engineer","Proposed; source and technical approval required"
"T16","Professional response and tool discipline","Concise explanations; assumptions; correction of mistakes; confidentiality boundaries; document instructions treated as data","Separate facts from hypotheses; decline unsupported claims; respect authorized tool scope","Launch core","Fine-tune reviewed behavioral examples; test on independent challenge prompts","Broadbridge-authored examples and expert review","Head of Product & AI","Proposed; source and technical approval required"
