id,phase,title,owner,not_before,duration,predecessors,hours,section,inputs,steps,output,acceptance,reviewer,review_hours,status,percent,start_day,finish_day,target_not_before
B01,Environment,Launch AWS GPU workspace and private S3 stores,OPS,1,3,,20,2,"Existing authorized AWS sandbox, region, network and spend envelope","Follow AWS 2: choose g6e.2xlarge and a compatible PyTorch GPU DLAMI; attach encrypted 300 GiB gp3 EBS; use Session Manager and an instance role; create private versioned S3 model, data, run and evaluator stores; record resource IDs. Use only public model weights and synthetic fixtures until G0.","aws_environment.json, GPU host and S3 inventory",Session Manager works; nvidia-smi detects one L40S; S3 role tests pass; evaluator bucket is denied to trainer. Account/quota/network access confirmed before day 1.,SEC,6,Not started,0,1,3,1
B02,Environment,Prepare PyTorch environment on AWS GPU host,AI,4,2,B01,12,12,AWS GPU host and DLAMI PyTorch environment,"Follow AWS 3: activate the AMI PyTorch environment, create an isolated overlay, keep the AMI CUDA/PyTorch stack, install model libraries, run pip check and CUDA/BF16 checks. Save AMI, driver, Python and package inventory.",candidate-requirements.txt and environment report,Imports and GPU/BF16 checks succeed; exact versions or Git commits captured.,OPS,4,Not started,0,4,5,1
B03,Environment,Pin the Hugging Face foundation model revision,HP,1,1,,4,12,Qwen/Qwen3.5-4B model card and Apache-2.0 license,Choose the post-trained image/text checkpoint as the starting foundation. Resolve and save its full repository SHA and license evidence. Other candidates remain comparison options; pin embeddings separately when building retrieval.,foundation_revision.json,Exact model revision and license recorded; no floating model revision in subsequent runs.,SEC,3,Not started,0,1,1,1
B04,Environment,Download Qwen3.5 weights into AWS and archive in S3,AI,6,1,B01; B02; B03,6,12,"AWS environment, pinned foundation revision and aws_start scripts","Run foundation_download.py on EC2 using the reviewed revision. Download safetensors, tokenizer, processor and config files to /srv/broadbridge/models; verify shards; hash all artifacts; copy the immutable revision folder to the private S3 model bucket. See AWS 3.","Local model snapshot, SHA256 manifest and private S3 copy",All weight shards and model/processor files exist; S3 copy count and sampled hashes reconcile; no proprietary source data sent to Hugging Face.,OPS,3,Not started,0,6,6,1
B05,Environment,Run the foundation model in AWS on text and images,AI,7,2,B04,12,12,Pinned model and synthetic fixtures,"Run foundation_smoke.py with the local model snapshot and synthetic chart. Record text and image answers, memory and timing. Extend check to ordered two-image input and empty image list. Archive baseline outputs in S3. See AWS 4.",baseline_smoke.json and compatibility_report.json,No missing architecture or image-token errors; save peak memory and latency.,HP,4,Not started,0,7,8,1
B06,Environment,Inspect adapter targets and loss masking,AI,9,3,B05,20,14,Loaded model named modules and collator,Select explicit language-layer projections; exclude visual encoder and projector; inspect one mixed batch and all label masks.,target_modules.txt and mask_report.json,Only intended LoRA weights are trainable; prompt/image/padding tokens have no supervised loss.,OPS,6,Not started,0,9,11,1
B07,Environment,Prove train save reload compatibility,AI,12,3,B06,18,14,Two approved or synthetic examples,Run ten optimizer steps on a fixture; save adapter and processor; reload with exact base; compare deterministic logits within agreed tolerance.,smoke adapter and reload_report.json,"Finite loss, gradient updates, successful reload and reproducible outputs. Fixture is excluded from production data.",HP,4,Not started,0,12,14,1
A01,Mobilize,Define three pilot workflows,HP,2,2,,12,1,CTO plan and refining scope,"Specify evidence review, diagnostic brief and calculation support; list allowed users and excluded operating actions.",charter.md and workflow list,Technical Director accepts scope and prohibited actions.,TD,2,Not started,0,2,3,1
A02,Mobilize,Assign named delivery and review owners,MD,1,3,,10,1,Seven-role organization and contracted support,Protect the role hours; appoint separate content authors and reviewers; reserve parent security capacity.,staffing.csv and reviewer roster,Named owner and independent reviewer for each workstream.,HP,2,Not started,0,1,3,1
A03,Mobilize,Measure current engineering workflow,CD,4,4,A01,24,18,Representative internal engineering questions,"Time at least ten manually prepared briefs; record complexity, corrections and acceptance rubric before tool use.",baseline_effort.csv,Baseline includes review time and task mix; no fabricated ROI.,HP,4,Not started,0,4,7,3
