source_id,question_id,type,response_label,score,critical_error,reviewer,review_date,notes
EIA-REFINING,PUB-001,brief,A,,,,,
EIA-REFINING,PUB-001,brief,B,,,,,
EIA-REFINING,PUB-002,grounded_explanation,A,,,,,
EIA-REFINING,PUB-002,grounded_explanation,B,,,,,
EIA-REFINING,PUB-003,missing_data,A,,,,,
EIA-REFINING,PUB-003,missing_data,B,,,,,
EIA-YIELD,PUB-004,calculation,A,,,,,
EIA-YIELD,PUB-004,calculation,B,,,,,
EIA-YIELD,PUB-005,grounded_explanation,A,,,,,
EIA-YIELD,PUB-005,grounded_explanation,B,,,,,
EIA-YIELD,PUB-006,abstention,A,,,,,
EIA-YIELD,PUB-006,abstention,B,,,,,
EIA-LNG,PUB-007,calculation,A,,,,,
EIA-LNG,PUB-007,calculation,B,,,,,
EIA-LNG,PUB-008,calculation,A,,,,,
EIA-LNG,PUB-008,calculation,B,,,,,
EIA-LNG,PUB-009,brief,A,,,,,
EIA-LNG,PUB-009,brief,B,,,,,
EIA-PIPELINE,PUB-010,calculation,A,,,,,
EIA-PIPELINE,PUB-010,calculation,B,,,,,
EIA-PIPELINE,PUB-011,missing_data,A,,,,,
EIA-PIPELINE,PUB-011,missing_data,B,,,,,
EIA-PIPELINE,PUB-012,brief,A,,,,,
EIA-PIPELINE,PUB-012,brief,B,,,,,
EIA-HGL,PUB-013,grounded_explanation,A,,,,,
EIA-HGL,PUB-013,grounded_explanation,B,,,,,
EIA-HGL,PUB-014,missing_data,A,,,,,
EIA-HGL,PUB-014,missing_data,B,,,,,
EIA-HGL,PUB-015,abstention,A,,,,,
EIA-HGL,PUB-015,abstention,B,,,,,
EIA-OCTANE,PUB-016,calculation,A,,,,,
EIA-OCTANE,PUB-016,calculation,B,,,,,
EIA-OCTANE,PUB-017,calculation,A,,,,,
EIA-OCTANE,PUB-017,calculation,B,,,,,
EIA-OCTANE,PUB-018,grounded_explanation,A,,,,,
EIA-OCTANE,PUB-018,grounded_explanation,B,,,,,
CSB-CHEVRON,PUB-019,brief,A,,,,,
CSB-CHEVRON,PUB-019,brief,B,,,,,
CSB-CHEVRON,PUB-020,missing_data,A,,,,,
CSB-CHEVRON,PUB-020,missing_data,B,,,,,
CSB-CHEVRON,PUB-021,abstention,A,,,,,
CSB-CHEVRON,PUB-021,abstention,B,,,,,
CSB-TESORO,PUB-022,grounded_explanation,A,,,,,
CSB-TESORO,PUB-022,grounded_explanation,B,,,,,
CSB-TESORO,PUB-023,abstention,A,,,,,
CSB-TESORO,PUB-023,abstention,B,,,,,
CSB-TESORO,PUB-024,missing_data,A,,,,,
CSB-TESORO,PUB-024,missing_data,B,,,,,
CSB-WILLIAMS,PUB-025,brief,A,,,,,
CSB-WILLIAMS,PUB-025,brief,B,,,,,
CSB-WILLIAMS,PUB-026,grounded_explanation,A,,,,,
CSB-WILLIAMS,PUB-026,grounded_explanation,B,,,,,
CSB-WILLIAMS,PUB-027,abstention,A,,,,,
CSB-WILLIAMS,PUB-027,abstention,B,,,,,
CSB-ENTERPRISE,PUB-028,brief,A,,,,,
CSB-ENTERPRISE,PUB-028,brief,B,,,,,
CSB-ENTERPRISE,PUB-029,missing_data,A,,,,,
CSB-ENTERPRISE,PUB-029,missing_data,B,,,,,
CSB-ENTERPRISE,PUB-030,abstention,A,,,,,
CSB-ENTERPRISE,PUB-030,abstention,B,,,,,
